id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
91,2024-07-29 22:19:34.536790,5.5,2.5,4.0,1.3,1
90,2024-07-29 22:19:33.522358,5.6,3.0,4.1,1.3,1
89,2024-07-29 22:19:32.518704,6.3,2.3,4.4,1.3,1
88,2024-07-29 22:19:31.505858,6.7,3.1,4.7,1.5,1
87,2024-07-29 22:19:30.498177,6.0,3.4,4.5,1.6,1
86,2024-07-29 22:19:29.493475,5.4,3.0,4.5,1.5,1
85,2024-07-29 22:19:28.478649,6.0,2.7,5.1,1.6,1
84,2024-07-29 22:19:27.464037,5.8,2.7,3.9,1.2,1
83,2024-07-29 22:19:26.459345,5.5,2.4,3.7,1.0,1
82,2024-07-29 22:19:25.455003,5.5,2.4,3.8,1.1,1
81,2024-07-29 22:19:24.449333,5.7,2.6,3.5,1.0,1
80,2024-07-29 22:19:23.437048,6.0,2.9,4.5,1.5,1
79,2024-07-29 22:19:22.430463,6.7,3.0,5.0,1.7,1
78,2024-07-29 22:19:21.419148,6.8,2.8,4.8,1.4,1
77,2024-07-29 22:19:20.416502,6.6,3.0,4.4,1.4,1
76,2024-07-29 22:19:19.411671,6.4,2.9,4.3,1.3,1
75,2024-07-29 22:19:18.396874,6.1,2.8,4.7,1.2,1
74,2024-07-29 22:19:17.381353,6.3,2.5,4.9,1.5,1
73,2024-07-29 22:19:16.366514,6.1,2.8,4.0,1.3,1
72,2024-07-29 22:19:15.353444,5.9,3.2,4.8,1.8,1
71,2024-07-29 22:19:14.349324,5.6,2.5,3.9,1.1,1
70,2024-07-29 22:19:13.336623,6.2,2.2,4.5,1.5,1
69,2024-07-29 22:19:12.323029,5.8,2.7,4.1,1.0,1
68,2024-07-29 22:19:11.310724,5.6,3.0,4.5,1.5,1
67,2024-07-29 22:19:10.305317,6.7,3.1,4.4,1.4,1
66,2024-07-29 22:19:09.302246,5.6,2.9,3.6,1.3,1
65,2024-07-29 22:19:08.296350,6.1,2.9,4.7,1.4,1
64,2024-07-29 22:19:07.292403,6.0,2.2,4.0,1.0,1
63,2024-07-29 22:19:06.277722,5.9,3.0,4.2,1.5,1
62,2024-07-29 22:19:05.264392,5.0,2.0,3.5,1.0,1
61,2024-07-29 22:19:04.257782,5.2,2.7,3.9,1.4,1
60,2024-07-29 22:19:03.253714,6.6,2.9,4.6,1.3,1
59,2024-07-29 22:19:02.238623,4.9,2.4,3.3,1.0,1
58,2024-07-29 22:19:01.224595,6.3,3.3,4.7,1.6,1
57,2024-07-29 22:19:00.209730,5.7,2.8,4.5,1.3,1
56,2024-07-29 22:18:59.206658,6.5,2.8,4.6,1.5,1
55,2024-07-29 22:18:58.195137,5.5,2.3,4.0,1.3,1
54,2024-07-29 22:18:57.182484,6.9,3.1,4.9,1.5,1
53,2024-07-29 22:18:56.168651,6.4,3.2,4.5,1.5,1
52,2024-07-29 22:18:55.164684,7.0,3.2,4.7,1.4,1
